"","logFC","logCPM","F","PValue","FDR"
"AC8.11",-0.208178079439783,1.26843122282168,0.145695394782913,0.711929331708912,1
"AC8.12",-0.95087769214514,0.644004681957457,1.90751481819644,0.20201473186392,1
"acaa-2",0.00855492248108887,6.18731321383356,0.00159378929249235,0.969065103271973,1
"acbp-1",0.221981348346063,5.60159590812864,0.213564079357068,0.656042863917572,1
"acbp-3",0.567188633333564,2.16443972610152,0.248891046981721,0.63160376355227,1
"acbp-5",0.149424017771178,3.29523685357613,0.182559265821355,0.679665342192401,1
"acbp-6",0.678510768937973,0.851816354091954,0.258923852890761,0.627391614700415,1
"acd-1",-1.23294447380091,0.265666787614482,1.44876031101821,0.260764111847796,1
"acd-2",-0.595441677707786,2.51675002554818,0.653886662894475,0.440489929327981,1
"acd-3",-0.314570601684662,0.968081360089585,0.204311995327974,0.662430220324303,1
"acd-5",-0.0237924067128799,3.03156389559108,0.00293508413732434,0.958030365126396,1
"acdh-1",0.17050906393952,10.2798604821018,0.346813202076278,0.571042288182334,1
"acdh-10",0.413837043040117,5.70007700693021,0.370209590985298,0.561953077016879,1
"acdh-11",0.186202490775924,5.00323814029782,0.623927085801488,0.450789671962844,1
"acdh-12",-0.0966978327228775,5.67505286595531,0.167266957411625,0.692534357271223,1
"acdh-13",-0.177932811605134,4.52455035231455,0.18404158453186,0.678452695164919,1
"acdh-2",-0.462293121705448,3.37792160889913,0.80526111584137,0.393916890927042,1
"acdh-3",0.0160908154286769,5.9373264684335,0.00363389672253563,0.953306676233157,1
"acdh-4",-0.280459409863197,2.04870726175307,0.104428965488083,0.754320064025616,1
"acdh-5",-0.151039728408247,2.18545663389469,0.0297564524247883,0.867058939002754,1
"acdh-6",0.128505537248603,2.32483754853239,0.0322519599518688,0.861629460094401,1
"acdh-7",0.280129574822965,5.12336254257916,0.238605892215401,0.638728584449351,1
"acdh-8",0.0458608755492178,3.51611177231984,0.00485897873929686,0.946097650165594,1
"acdh-9",0.122834239953379,5.11079289292742,0.270792531059657,0.615910549694812,1
"acds-10",-0.971937246222622,3.8437179004027,4.7683914126747,0.0581547337933011,1
"ace-1",-1.09857694261643,1.28831245715375,3.78665932851288,0.0849592436360229,1
"ace-2",-0.469929248507715,4.08553691745399,3.03867407760707,0.11678306597894,1
"ace-3",0.182480526268035,0.575575884777493,0.0517256804156327,0.825393742005448,1
"acer-1",-0.230929737667248,6.74876326243202,0.4873116768806,0.503537667839783,1
"acin-1",0.0139685638649555,5.26216196551173,0.00427388398460885,0.949367635853894,1
"acl-1",-0.33017657409954,3.71360336612447,1.1580350695398,0.311091436626528,1
"acl-11",-0.811611271719848,2.76954299637258,2.2084085612214,0.17291846742117,1
"acl-12",0.13929370171776,3.87798638637293,0.151040812113144,0.706974706069016,1
"acl-13",0.662130822702095,1.39159875425445,0.859436546458099,0.379142057582107,1
"acl-14",0.467510492457803,4.98667907242607,2.26326868694879,0.168228706616538,1
"acl-2",-0.367868613126405,3.87532955516511,0.872549281412778,0.375696288860812,1
"acl-3",-0.550890678771236,3.5668968857956,2.20516924245456,0.173200794557443,1
"acl-4",0.403271651780872,4.87768578896224,1.88650459059658,0.204285736083389,1
"acl-5",-0.557131713549109,3.34654442363148,2.39924176983743,0.157310569415938,1
"acl-6",-0.179100334822291,4.84642111104196,0.467559389506429,0.51208652004531,1
"acl-7",-0.320445662746383,4.74589801242117,1.82475129749918,0.211164587330134,1
"acl-8",0.016481123967687,4.36400638241403,0.00449151238035517,0.948096627515602,1
"acl-9",0.0792275364077156,4.88981992832989,0.109938031429309,0.748139637876137,1
"acly-1",0.241585720082684,6.46212842944406,0.945649109405794,0.357345493827232,1
"acly-2",-0.113876788122838,6.34880358858221,0.206395178801047,0.660839386997955,1
"acn-1",0.794241291070745,6.14504399407786,0.795932376217667,0.402065615939804,1
"aco-1",0.330502412930364,7.1132555791362,1.24020997023383,0.295542543803222,1
"aco-2",0.0601695545261438,8.44618409277284,0.0807167595331958,0.783039842898382,1
"acox-1.1",-1.93499080785604,4.59954164156136,29.5701004129309,0.000479645100598797,0.419537219378562
"acox-1.2",1.09663831323139,3.4127791858522,3.21417034936344,0.108096103583243,1
"acox-1.3",-0.857589369253905,1.72962589241898,1.22990583863648,0.297429587644035,1
"acox-1.4",-1.70577389013092,3.82788702754293,9.12080876811286,0.0153449220332689,1
"acox-1.5",-0.471287483227184,4.3812667115357,0.81629291955272,0.391685956326104,1
"acox-1.6",-0.843234929457198,3.59434515659357,2.72203310294729,0.134886878884258,1
"acox-3",-1.7884220522219,4.41173807276456,21.9028388816728,0.00129698048932441,0.66344844845754
"acp-1",0.0542036698524542,0.69165024776801,0.00381057727571772,0.95218660036266,1
"acp-2",0.143458235896548,1.80159324678773,0.0334624272623187,0.859088249974393,1
"acp-3",0.325166580930374,0.574381642675692,0.0768723094364402,0.788120766558551,1
"acp-5",-0.10396651801181,3.60688944120458,0.0344435554045606,0.857073637475146,1
"acp-6",-0.0298767845323284,6.16994312255115,0.0020123906295087,0.965461696673605,1
"acp-7",0.481456048453171,1.91829762942099,0.493052739866201,0.501102069781867,1
"acr-12",-1.03695104581975,1.84229877833227,3.01048370707044,0.118261690155535,1
"acr-15",-0.499019672971711,0.0722380758327818,0.412913000483442,0.537221908955213,1
"acr-16",-0.526956286060939,0.664973131938383,0.570583813870727,0.470178418011284,1
"acr-17",0.552155678820339,0.900167449951482,0.322985614204353,0.584328952138685,1
"acr-18",0.537185909236487,-0.165130664335059,0.544582464616514,0.546812408756336,1
"acr-24",0.358441483090311,-0.101538541740532,0.215360592933679,0.654103061784472,1
"acr-8",-2.51952719042515,0.713376681834732,7.16662850787582,0.0262984841805004,1
"acs-1",-0.314353581479306,6.26399247076739,1.05073401331083,0.333264336368875,1
"acs-10",0.517161586105274,2.92833593473086,0.824760555465927,0.388496180436109,1
"acs-11",-0.280021746152014,4.77010722100414,1.25471757926903,0.292914876725006,1
"acs-12",-0.270410460392111,3.17782831896781,0.622563369258122,0.451268183559194,1
"acs-13",-0.253321314811925,7.66583502357737,1.00074681630769,0.344403843518045,1
"acs-14",-1.06991864085639,5.47957998289645,5.73002500082393,0.0423084515034048,1
"acs-15",0.175159828426399,1.8138467818489,0.0491990591544403,0.829632408962758,1
"acs-16",0.476972557064265,2.59915220390566,0.394182122013852,0.54647510214767,1
"acs-17",-0.274328234571221,5.29944769413034,0.403032388368091,0.542144148716771,1
"acs-18",0.202404645915051,2.70637282365711,0.0880944601983337,0.773646481789371,1
"acs-19",-0.28874020716492,6.65176933862521,0.789093646405873,0.398502831445514,1
"acs-2",-0.36839147900965,3.92498739357761,0.103416758956146,0.756264660057434,1
"acs-20",0.0404305297874782,4.34130234707932,0.00495781286807826,0.945572718136284,1
"acs-21",-0.385023063961273,1.57806384191338,0.505957440410679,0.495705175915438,1
"acs-22",-0.784632386528589,5.29945238848495,5.90008088935064,0.0391962524879424,1
"acs-3",-1.10793469457209,2.40437707361084,0.719024589105893,0.423953068324655,1
"acs-4",0.253239782155403,7.52112061991055,1.21075519520936,0.300983351468259,1
"acs-5",-0.899580350851522,6.04863061410965,8.71863233064229,0.0169280262567131,1
"acs-6",0.0463069689688251,2.68671411318983,0.00512081044453721,0.944586211647893,1
"acs-7",-2.90850901199984,3.60289293875713,56.4108090402859,4.63286965027175e-05,0.144961332107377
"acs-9",-0.723731041737701,0.0314319846783241,0.982967577241203,0.348501227054541,1
"acsd-1",-0.150041163295192,0.78944583514595,0.0517024250191601,0.825432250409493,1
"act-2",0.837093216878038,9.20461582127932,11.4458678926467,0.00861551857735047,1
